Название угрозы,Отрасль компании,Кол-во сотрудников,Регион,Вероятность возникновения угрозы
Social Engineering,Transportation,990,APAC,3
Social Engineering,Agriculture,2795,APAC,2
Miscellaneous Errors,Administrative,2498,LAC,5
Privilege Misuse,Construction,1966,APAC,1
Miscellaneous Errors,Retail,994,EMEA,2
Social Engineering,Information,2795,EMEA,1
Privilege Misuse,Public Administration,137,EMEA,5
Lost and Stolen Assets,Manufacturing,360,EMEA,2
Denial of Service (DoS),Accommodation,861,EMEA,1
Denial of Service (DoS),Construction,628,APAC,5
Basic Web-API Attacks,Agriculture,2018,NA,3
Miscellaneous Errors,Manufacturing,1873,EMEA,1
Privilege Misuse,Finance,1009,APAC,5
Social Engineering,Manufacturing,1849,APAC,2
System Intrusion,Public Administration,2146,LAC,1
Denial of Service (DoS),Transportation,1769,NA,5
Social Engineering,Finance,1054,APAC,5
Miscellaneous Errors,Entertainment,2483,LAC,4
Miscellaneous Errors,Retail,453,EMEA,3
Miscellaneous Errors,Accommodation,1794,APAC,5
Miscellaneous Errors,Agriculture,970,APAC,3
Denial of Service (DoS),Construction,410,APAC,1
Basic Web-API Attacks,Transportation,2036,EMEA,1
Miscellaneous Errors,Agriculture,1196,NA,5
Social Engineering,Transportation,1049,NA,2
Denial of Service (DoS),Wholesale Trade,1449,NA,3
Denial of Service (DoS),Entertainment,1519,NA,5
Social Engineering,Healthcare,2286,APAC,1
Denial of Service (DoS),Agriculture,344,EMEA,5
Social Engineering,Entertainment,1737,EMEA,1
Social Engineering,Transportation,829,EMEA,4
Privilege Misuse,Utilities,1563,APAC,2
Basic Web-API Attacks,Professional,470,NA,5
System Intrusion,Wholesale Trade,2754,NA,3
Privilege Misuse,Finance,2476,NA,1
System Intrusion,Mining,2097,APAC,3
Basic Web-API Attacks,Accommodation,1390,APAC,5
Basic Web-API Attacks,Finance,1489,NA,3
Lost and Stolen Assets,Transportation,1351,NA,3
Privilege Misuse,Professional,276,APAC,4
Lost and Stolen Assets,Public Administration,2985,LAC,1
Denial of Service (DoS),Utilities,2510,NA,4
Denial of Service (DoS),Wholesale Trade,769,NA,3
Privilege Misuse,Manufacturing,2197,EMEA,5
System Intrusion,Utilities,2648,NA,2
Basic Web-API Attacks,Public Administration,782,EMEA,5
Denial of Service (DoS),Public Administration,2745,NA,5
Lost and Stolen Assets,Healthcare,677,NA,2
Social Engineering,Construction,1000,APAC,1
Denial of Service (DoS),Transportation,1217,APAC,5
Denial of Service (DoS),Mining,2760,NA,1
Social Engineering,Entertainment,2760,EMEA,3
Miscellaneous Errors,Retail,1324,EMEA,2
Basic Web-API Attacks,Real Estate,2847,EMEA,4
Privilege Misuse,Transportation,1534,NA,5
System Intrusion,Transportation,2504,APAC,4
Miscellaneous Errors,Wholesale Trade,862,APAC,1
System Intrusion,Entertainment,1409,EMEA,2
Basic Web-API Attacks,Agriculture,2183,NA,2
System Intrusion,Retail,2372,APAC,1
Privilege Misuse,Real Estate,506,APAC,5
Denial of Service (DoS),Finance,2487,NA,3
Social Engineering,Public Administration,2451,APAC,4
System Intrusion,Transportation,1780,EMEA,5
Basic Web-API Attacks,Retail,1991,NA,5
Miscellaneous Errors,Utilities,644,LAC,2
Basic Web-API Attacks,Retail,226,EMEA,2
Denial of Service (DoS),Entertainment,1317,NA,2
Basic Web-API Attacks,Utilities,2625,NA,3
Social Engineering,Public Administration,1762,NA,4
System Intrusion,Utilities,2135,EMEA,4
Lost and Stolen Assets,Accommodation,2876,APAC,3
Privilege Misuse,Retail,2656,EMEA,4
System Intrusion,Administrative,2541,EMEA,2
Miscellaneous Errors,Construction,2189,EMEA,4
Privilege Misuse,Manufacturing,195,APAC,1
Privilege Misuse,Accommodation,840,EMEA,2
Privilege Misuse,Transportation,2592,APAC,3
Lost and Stolen Assets,Manufacturing,2733,NA,3
Privilege Misuse,Manufacturing,2460,NA,3
Social Engineering,Public Administration,581,APAC,1
Basic Web-API Attacks,Public Administration,304,NA,2
System Intrusion,Public Administration,2146,NA,2
Privilege Misuse,Information,1099,NA,2
Social Engineering,Transportation,2114,LAC,2
Denial of Service (DoS),Accommodation,2894,NA,4
Lost and Stolen Assets,Healthcare,1763,APAC,5
Social Engineering,Mining,1217,EMEA,4
Lost and Stolen Assets,Retail,1593,EMEA,5
Denial of Service (DoS),Retail,1072,APAC,5
Lost and Stolen Assets,Healthcare,683,EMEA,3
Social Engineering,Administrative,2187,APAC,2
Privilege Misuse,Retail,180,NA,2
Miscellaneous Errors,Healthcare,1915,NA,4
Social Engineering,Healthcare,2577,APAC,1
Miscellaneous Errors,Manufacturing,2843,EMEA,1
Miscellaneous Errors,Healthcare,887,APAC,2
System Intrusion,Transportation,1295,NA,3
System Intrusion,Agriculture,2775,NA,4
Basic Web-API Attacks,Transportation,556,EMEA,5
Social Engineering,Transportation,628,APAC,2
System Intrusion,Transportation,1526,LAC,4
Social Engineering,Manufacturing,2982,NA,2
Denial of Service (DoS),Utilities,347,EMEA,4
Denial of Service (DoS),Public Administration,1474,LAC,4
Lost and Stolen Assets,Retail,1761,NA,5
Social Engineering,Utilities,584,EMEA,1
Privilege Misuse,Manufacturing,783,EMEA,1
Lost and Stolen Assets,Transportation,2456,APAC,4
Lost and Stolen Assets,Manufacturing,1831,APAC,2
Basic Web-API Attacks,Accommodation,2125,EMEA,2
Miscellaneous Errors,Retail,1484,NA,5
System Intrusion,Agriculture,869,EMEA,4
System Intrusion,Accommodation,1520,EMEA,4
Social Engineering,Professional,2383,APAC,3
Lost and Stolen Assets,Real Estate,1829,APAC,1
Lost and Stolen Assets,Retail,2446,NA,3
System Intrusion,Retail,652,LAC,2
Denial of Service (DoS),Wholesale Trade,240,APAC,3
Lost and Stolen Assets,Wholesale Trade,1268,EMEA,4
System Intrusion,Professional,1727,LAC,4
System Intrusion,Utilities,2795,LAC,2
Basic Web-API Attacks,Retail,1236,NA,2
Miscellaneous Errors,Public Administration,1689,NA,1
Denial of Service (DoS),Retail,2860,APAC,3
Privilege Misuse,Utilities,158,NA,1
Basic Web-API Attacks,Construction,1860,EMEA,5
System Intrusion,Real Estate,2838,EMEA,3
Basic Web-API Attacks,Finance,521,NA,5
Miscellaneous Errors,Healthcare,2212,APAC,2
System Intrusion,Accommodation,2437,EMEA,5
System Intrusion,Transportation,1620,APAC,1
Lost and Stolen Assets,Healthcare,534,NA,4
Social Engineering,Retail,2303,APAC,5
Denial of Service (DoS),Retail,1974,NA,1
System Intrusion,Agriculture,2509,NA,1
Denial of Service (DoS),Entertainment,503,APAC,4
Basic Web-API Attacks,Public Administration,1690,LAC,5
System Intrusion,Agriculture,1347,EMEA,1
Lost and Stolen Assets,Information,1067,APAC,1
Basic Web-API Attacks,Finance,942,NA,4
Lost and Stolen Assets,Utilities,648,APAC,5
Denial of Service (DoS),Information,2654,NA,5
System Intrusion,Public Administration,1103,EMEA,5
Social Engineering,Public Administration,2374,APAC,4
Basic Web-API Attacks,Retail,2482,NA,2
System Intrusion,Construction,1950,EMEA,1
Basic Web-API Attacks,Accommodation,687,APAC,1
Miscellaneous Errors,Healthcare,1780,NA,3
System Intrusion,Utilities,2042,APAC,3
Privilege Misuse,Manufacturing,2853,EMEA,2
System Intrusion,Wholesale Trade,2909,APAC,2
Privilege Misuse,Entertainment,2737,APAC,4
Denial of Service (DoS),Utilities,2386,NA,2
System Intrusion,Public Administration,946,APAC,3
System Intrusion,Manufacturing,1614,NA,1
Privilege Misuse,Information,2526,NA,5
Lost and Stolen Assets,Transportation,1651,APAC,4
Lost and Stolen Assets,Public Administration,319,LAC,2
Basic Web-API Attacks,Entertainment,459,LAC,5
Denial of Service (DoS),Transportation,1368,APAC,3
System Intrusion,Entertainment,461,APAC,1
Social Engineering,Administrative,1060,APAC,2
Basic Web-API Attacks,Real Estate,1923,EMEA,1
Denial of Service (DoS),Finance,2837,APAC,4
Social Engineering,Wholesale Trade,312,NA,4
Social Engineering,Professional,1461,LAC,2
System Intrusion,Manufacturing,1426,EMEA,4
Privilege Misuse,Entertainment,1026,EMEA,1
Privilege Misuse,Transportation,203,NA,4
System Intrusion,Administrative,502,EMEA,1
Basic Web-API Attacks,Retail,2436,NA,4
Denial of Service (DoS),Wholesale Trade,626,NA,1
System Intrusion,Transportation,2880,APAC,3
System Intrusion,Transportation,2044,LAC,2
Privilege Misuse,Utilities,465,NA,1
Social Engineering,Healthcare,2662,LAC,2
Basic Web-API Attacks,Public Administration,1263,LAC,5
System Intrusion,Accommodation,2836,NA,1
Basic Web-API Attacks,Agriculture,1368,NA,2
Social Engineering,Utilities,497,APAC,3
Miscellaneous Errors,Agriculture,1070,APAC,4
Miscellaneous Errors,Wholesale Trade,1758,EMEA,5
Lost and Stolen Assets,Utilities,136,APAC,5
Denial of Service (DoS),Accommodation,625,EMEA,2
Privilege Misuse,Transportation,724,NA,2
System Intrusion,Public Administration,2344,APAC,4
Miscellaneous Errors,Retail,1843,NA,4
Denial of Service (DoS),Construction,2587,APAC,4
Lost and Stolen Assets,Public Administration,1325,LAC,1
System Intrusion,Agriculture,1318,NA,3
System Intrusion,Transportation,1011,APAC,5
Miscellaneous Errors,Construction,455,EMEA,5
Denial of Service (DoS),Wholesale Trade,252,APAC,2
Denial of Service (DoS),Utilities,1607,EMEA,4
System Intrusion,Transportation,678,APAC,5
Privilege Misuse,Wholesale Trade,1730,NA,3
Social Engineering,Retail,1620,NA,3
Miscellaneous Errors,Entertainment,528,EMEA,3
Privilege Misuse,Public Administration,432,EMEA,5
Basic Web-API Attacks,Utilities,2414,APAC,5
Social Engineering,Utilities,1411,APAC,4
System Intrusion,Transportation,2139,NA,1
Lost and Stolen Assets,Public Administration,2810,EMEA,2
Basic Web-API Attacks,Utilities,2388,EMEA,5
Social Engineering,Administrative,226,APAC,5
Miscellaneous Errors,Utilities,1708,EMEA,5
System Intrusion,Real Estate,1147,EMEA,1
Denial of Service (DoS),Professional,2504,LAC,5
Denial of Service (DoS),Retail,1110,NA,1
Privilege Misuse,Finance,809,NA,1
Privilege Misuse,Transportation,1172,NA,1
Miscellaneous Errors,Transportation,990,NA,5
Denial of Service (DoS),Entertainment,1519,LAC,4
System Intrusion,Real Estate,2505,EMEA,1
Social Engineering,Agriculture,2181,APAC,1
Lost and Stolen Assets,Utilities,2089,APAC,4
System Intrusion,Retail,2895,EMEA,4
Denial of Service (DoS),Wholesale Trade,2168,NA,1
Social Engineering,Healthcare,1170,NA,1
Denial of Service (DoS),Public Administration,2456,EMEA,5
Basic Web-API Attacks,Professional,2520,APAC,1
Lost and Stolen Assets,Utilities,2525,EMEA,4
Basic Web-API Attacks,Utilities,2772,APAC,2
Miscellaneous Errors,Utilities,2346,NA,2
Social Engineering,Retail,263,APAC,2
Denial of Service (DoS),Information,146,EMEA,2
Basic Web-API Attacks,Manufacturing,1380,APAC,5
System Intrusion,Manufacturing,1392,APAC,4
Denial of Service (DoS),Retail,2878,APAC,5
Lost and Stolen Assets,Finance,839,NA,1
Miscellaneous Errors,Utilities,1804,APAC,3
Miscellaneous Errors,Retail,2107,EMEA,3
Miscellaneous Errors,Retail,440,EMEA,1
Miscellaneous Errors,Entertainment,502,EMEA,1
Privilege Misuse,Utilities,1509,NA,5
Miscellaneous Errors,Healthcare,922,APAC,5
Lost and Stolen Assets,Entertainment,2358,EMEA,1
Denial of Service (DoS),Finance,2845,APAC,5
Basic Web-API Attacks,Utilities,2558,EMEA,4
Miscellaneous Errors,Retail,2061,EMEA,2
Social Engineering,Utilities,1375,NA,4
Lost and Stolen Assets,Utilities,2335,NA,2
Basic Web-API Attacks,Construction,1633,EMEA,3
Miscellaneous Errors,Agriculture,107,APAC,4
System Intrusion,Entertainment,2093,LAC,3
Miscellaneous Errors,Retail,1495,APAC,4
Social Engineering,Transportation,1126,EMEA,5
System Intrusion,Utilities,1995,EMEA,3
System Intrusion,Retail,389,LAC,1
Miscellaneous Errors,Agriculture,663,LAC,3
Social Engineering,Administrative,622,EMEA,1
System Intrusion,Finance,2771,NA,5
Privilege Misuse,Entertainment,2186,APAC,4
System Intrusion,Utilities,2518,NA,5
Social Engineering,Retail,257,NA,5
